produto,estado,semana,preco_modelo,preco_baseline,mae_modelo_estado,mae_baseline_estado
GASOLINA,BA,2026-08-03/2026-08-09,6.996461406322495,6.99,0.0729770436774186,0.0608333333333333
GASOLINA,BA,2026-08-10/2026-08-16,7.000391697785265,6.99,0.0729770436774186,0.0608333333333333
GASOLINA,BA,2026-08-17/2026-08-23,7.0034003886200695,6.99,0.0729770436774186,0.0608333333333333
GASOLINA,BA,2026-08-24/2026-08-30,7.008133348805968,6.99,0.0729770436774186,0.0608333333333333
GASOLINA,CE,2026-08-03/2026-08-09,6.888772037472939,6.89,0.0512540375451629,0.0479166666666667
GASOLINA,CE,2026-08-10/2026-08-16,6.893894750603448,6.89,0.0512540375451629,0.0479166666666667
GASOLINA,CE,2026-08-17/2026-08-23,6.89887431933078,6.89,0.0512540375451629,0.0479166666666667
GASOLINA,CE,2026-08-24/2026-08-30,6.901245090482768,6.89,0.0512540375451629,0.0479166666666667
GASOLINA,DF,2026-08-03/2026-08-09,6.539880224470241,6.57,0.1604757811712367,0.1539583333333333
GASOLINA,DF,2026-08-10/2026-08-16,6.520529244855663,6.57,0.1604757811712367,0.1539583333333333
GASOLINA,DF,2026-08-17/2026-08-23,6.4968956770207225,6.57,0.1604757811712367,0.1539583333333333
GASOLINA,DF,2026-08-24/2026-08-30,6.500160138608342,6.57,0.1604757811712367,0.1539583333333333
GASOLINA,ES,2026-08-03/2026-08-09,6.492631437714948,6.49,0.0596382973524418,0.0542708333333333
GASOLINA,ES,2026-08-10/2026-08-16,6.500021699928269,6.49,0.0596382973524418,0.0542708333333333
GASOLINA,ES,2026-08-17/2026-08-23,6.505304140517473,6.49,0.0596382973524418,0.0542708333333333
GASOLINA,ES,2026-08-24/2026-08-30,6.5105865811066765,6.49,0.0596382973524418,0.0542708333333333
GASOLINA,GO,2026-08-03/2026-08-09,6.74776763787186,6.74,0.0596045641583483,0.0531250000000001
GASOLINA,GO,2026-08-10/2026-08-16,6.7555352757437195,6.74,0.0596045641583483,0.0531250000000001
GASOLINA,GO,2026-08-17/2026-08-23,6.76240092670148,6.74,0.0596045641583483,0.0531250000000001
GASOLINA,GO,2026-08-24/2026-08-30,6.768408153073557,6.74,0.0596045641583483,0.0531250000000001
GASOLINA,MA,2026-08-03/2026-08-09,6.888801330846236,6.89,0.0633112119546394,0.0533333333333333
GASOLINA,MA,2026-08-10/2026-08-16,6.8926862797629544,6.89,0.0633112119546394,0.0533333333333333
GASOLINA,MA,2026-08-17/2026-08-23,6.896660572041005,6.89,0.0633112119546394,0.0533333333333333
GASOLINA,MA,2026-08-24/2026-08-30,6.899824539822081,6.89,0.0633112119546394,0.0533333333333333
GASOLINA,MG,2026-08-03/2026-08-09,6.294912708724227,6.29,0.0397422697997384,0.0270833333333332
GASOLINA,MG,2026-08-10/2026-08-16,6.299494680637654,6.29,0.0397422697997384,0.0270833333333332
GASOLINA,MG,2026-08-17/2026-08-23,6.304076652551081,6.29,0.0397422697997384,0.0270833333333332
GASOLINA,MG,2026-08-24/2026-08-30,6.308524346477033,6.29,0.0397422697997384,0.0270833333333332
GASOLINA,MS,2026-08-03/2026-08-09,6.6176509302974935,6.615,0.0775080285349675,0.07125
GASOLINA,MS,2026-08-10/2026-08-16,6.621804564133797,6.615,0.0775080285349675,0.07125
GASOLINA,MS,2026-08-17/2026-08-23,6.626721670798495,6.615,0.0775080285349675,0.07125
GASOLINA,MS,2026-08-24/2026-08-30,6.630875304634798,6.615,0.0775080285349675,0.07125
